"","country","n","pctOfApps","value"
"1","United States of America",865369,90.2,13.6709112845459
"2","China",48451,5.05,10.7883082569408
"3","Norway",30674,3.2,10.3311706692107
"4","Russia",24889,2.59,10.1221812177767
"5","Germany",24773,2.58,10.1175096294008
"6","Singapore",19323,2.01,9.869051375215
"7","United Kingdom",14451,1.51,9.57851889529833
"8","Austria",4754,0.5,8.46674164792014
"9","South Korea",3366,0.35,8.12148037475075
"10","Japan",1801,0.19,7.49609734517596
"11","Poland",132,0.01,4.88280192258637
"12","Denmark",77,0.01,4.34380542185368
"13","Canada",53,0.01,3.97029191355212
"14","France",41,0,3.71357206670431
"15","India",29,0,3.36729582998647
"16","Sweden",29,0,3.36729582998647
"17","Israel",23,0,3.13549421592915
"18","Netherlands",22,0,3.09104245335832
"19","Romania",21,0,3.04452243772342
"20","Ireland",18,0,2.89037175789616
"21","Italy",18,0,2.89037175789616
"22","Spain",6,0,1.79175946922805
"23","Australia",3,0,1.09861228866811
"24","Costa Rica",3,0,1.09861228866811
"25","Turkey",3,0,1.09861228866811
