"","company","mTotal"
"1","Google",4028
"2","Facebook",1274
"3","Chartboost",690
"4","Crashlytics",627
"5","Fabric",536
"6","Inmobi",528
"7","Unitytechnologies",447
"8","Mopub",444
"9","Applovin",420
"10","Vungle",327
"11","Millenialmedia",303
"12","Tapjoy",262
"13","Flurry",229
"14","Amazon",204
"15","Fyber",173
"16","Startapp",159
"17","Heyzap",149
"18","Ironsource",144
"19","Bitstadium",142
"20","Adobe",138
"21","Umeng",126
"22","Comscore",105
"23","Andengine",84
"24","Twitter",82
"25","Mail.Ru",75
"26","Nexage",74
"27","Milkman",74
"28","Mixpanel",72
"29","Yandex",64
"30","Apache",61
"31","Tencent",61
"32","Kochava",61
"33","Urbanairship",57
"34","Daum",55
"35","Presage",54
"36","Playhaven",52
"37","Neatplug",52
"38","Admob",47
"39","Newrelic",47
"40","Smaato",46
"41","Moat",46
"42","Unity",45
"43","Samsung",45
"44","Admarvel",41
"45","Core",41
"46","Cauley",39
"47","Appodeal",39
"48","Revmob",39
"49","Card.Io",38
"50","Weibo",37
"51","Adbuddiz",37
"52","Pushwoosh",36
"53","Igaworks",36
"54","Appboy",35
"55","Nativex",34
"56","Smartadserver",33
"57","Mobfox",32
"58","Pubnative",31
"59","Hyprmx",30
"60","Tune",28
"61","Pingstart",28
"62","Baidu",26
"63","Swrve",26
"64","Tnkfactory",26
"65","Appnext",25
"66","Zendesk",24
"67","Mdotm",24
"68","Tabtale",23
"69","Mocomplex",22
"70","Mobvista",21
"71","Rubicon",19
"72","Yume",19
"73","Kiip",19
"74","Outfit7",18
